S.N,Player,Nation,Pos,Squad,Age,90s,Tackles + Interceptions
1,Emanuel Aiwum,Austria,DF,Birmingham City,22,21.6,3.009259259
2,Daniel Ballard,Northern Ireland,DF,Sunderland,23,42.6,1.995305164
3,Di'Shon Bernard,Jamaica,DF,Sheffield Weds,22,30.3,2.706270627
4,Luis Binks,England,DF,Coventry City,21,14.8,3.040540541
5,Lee Buchanan,England,DF,Birmingham City,22,30.3,4.158415842
6,Ben Cabango,Wales,DF,Swansea City,23,32.1,2.77258567
7,Hayden Carter,England,DF,Blackburn,23,28.4,3.063380282
8,Harry Clarke,England,DF,Ipswich Town,22,26.2,2.366412214
9,Harry Darling,England,DF,Swansea City,23,32.9,2.218844985
10,Leif Davis,England,DF,Ipswich Town,23,42,2.880952381
11,Rav van den Berg,Netherlands,DF,Middlesbrough,19,32.1,2.647975078
12,Callum Doyle,England,DF,Leicester City,19,13.4,4.179104478
13,Cody Drameh,England,DF,Birmingham City,21,25.1,4.143426295
14,Milan van Ewijk,Netherlands,DF,Coventry City,22,34.4,4.069767442
15,Lewis Gibson,England,DF,Plymouth Argyle,23,39.7,2.141057935
16,Ryan Giles,England,DF,Hull City,23,12,2
17,Brodie Gilmore,Northern Ireland,DF,Huddersfield,19,17,3.941176471
18,Jacob Greaves,England,DF,Hull City,22,43,2.790697674
19,Taylor Harwood-Bellis,England,DF,Southampton,21,38.9,2.005141388
20,James Hill,England,DF,Blackburn,21,14.4,4.305555556
21,Ki-Jana Hoever,Netherlands,DF,Stoke City,21,34.1,4.750733138
22,Niall Huggins,Wales,DF,Sunderland,22,14.8,3.310810811
23,Trai Hume,Northern Ireland,DF,Sunderland,21,45.2,4.778761062
24,Bashir Humphreys,England,DF,Swansea City,20,21,2.047619048
25,Liam Kitching,England,DF,Coventry City,23,24.8,2.701612903
26,Ethan Laird,England,DF,Birmingham City,22,22.2,4.864864865
27,Dexter Lembikisa,Jamaica,DF,Rotherham Utd,19,22.3,3.587443946
28,Emmanuel Longelo,England,DF,Birmingham City,22,11.3,3.362831858
29,Sam McCallum,England,DF,Norwich City,22,16.4,4.695121951
30,Mark McGuinness,Ireland,DF,Cardiff City,22,28.8,2.395833333
31,Luke McNally,Ireland,DF,Stoke City,23,35.5,3.23943662
32,Jeremy Ngakia,England,DF,Watford,22,10.2,3.529411765
33,Ashley Phillips,Wales,DF,Plymouth Argyle,18,15.4,2.337662338
34,Matthew Pollock,England,DF,Watford,21,10.7,3.551401869
35,Seb Revan,England,DF,Rotherham Utd,20,30.4,3.026315789
36,Haydon Roberts,England,DF,Bristol City,21,13.9,2.014388489
37,Dion Sanderson,England,DF,Birmingham City,23,36.7,2.343324251
38,Jenson Seelt,Netherlands,DF,Sunderland,20,11.5,4.086956522
39,Pascal Struijk,Netherlands,DF,Leeds United,23,22.1,2.262443439
40,George Tanner,England,DF,Bristol City,23,33.7,3.323442136
41,Ben Wilmot,England,DF,Stoke City,23,22.7,2.158590308
42,Nathan Wood-Gordon,England,DF,Swansea City,21,23.4,1.88034188
